scope,group_name,item_no,item_name,level,condition,pct_優,pct_稍優,pct_普通,pct_稍劣,pct_劣,note
regional,土地使用管制,,都市計畫內外,優,都市計畫內,0.0,,,,20.0,以都市計畫內外來制定其優劣
regional,土地使用管制,,都市計畫內外,劣,都市計畫外,-20.0,,,,0.0,以都市計畫內外來制定其優劣
regional,土地使用管制,,使用分區〔編定〕,優,第二種商業區,0.0,5.0,10.0,15.0,20.0,以都市計畫使用分區及土地編定用地來制定其優劣
regional,土地使用管制,,使用分區〔編定〕,稍優,市場用地,-5.0,0.0,5.0,10.0,15.0,以都市計畫使用分區及土地編定用地來制定其優劣
regional,土地使用管制,,使用分區〔編定〕,普通,第二種住宅區,-10.0,-5.0,0.0,5.0,10.0,以都市計畫使用分區及土地編定用地來制定其優劣
regional,土地使用管制,,使用分區〔編定〕,稍劣,第一種住宅區,-15.0,-10.0,-5.0,0.0,5.0,以都市計畫使用分區及土地編定用地來制定其優劣
regional,土地使用管制,,使用分區〔編定〕,劣,其他分區,-20.0,-15.0,-10.0,-5.0,0.0,以都市計畫使用分區及土地編定用地來制定其優劣
regional,土地使用管制,,建蔽率,優,60%以上,0.0,2.5,5.0,7.5,10.0,以建蔽率高低來制定其優劣等級
regional,土地使用管制,,建蔽率,稍優,50%以上未滿60%,-2.5,0.0,2.5,5.0,7.5,以建蔽率高低來制定其優劣等級
regional,土地使用管制,,建蔽率,普通,45%以上未滿50%,-5.0,-2.5,0.0,2.5,5.0,以建蔽率高低來制定其優劣等級
regional,土地使用管制,,建蔽率,稍劣,40%以上未滿45%,-7.5,-5.0,-2.5,0.0,2.5,以建蔽率高低來制定其優劣等級
regional,土地使用管制,,建蔽率,劣,未滿40%,-10.0,-7.5,-5.0,-2.5,0.0,以建蔽率高低來制定其優劣等級
regional,土地使用管制,,容積率,優,240%以上,0.0,10.0,20.0,30.0,40.0,以容積率高低來制定其優劣等級
regional,土地使用管制,,容積率,稍優,200%以上未滿240%,-10.0,0.0,10.0,20.0,30.0,以容積率高低來制定其優劣等級
regional,土地使用管制,,容積率,普通,160%以上未滿200%,-20.0,-10.0,0.0,10.0,20.0,以容積率高低來制定其優劣等級
regional,土地使用管制,,容積率,稍劣,120%以上未滿160%,-30.0,-20.0,-10.0,0.0,10.0,以容積率高低來制定其優劣等級
regional,土地使用管制,,容積率,劣,未滿120%,-40.0,-30.0,-20.0,-10.0,0.0,以容積率高低來制定其優劣等級
regional,土地使用管制,,有無禁止建築,優,無,0.0,,,,40.0,以區段內有無禁止建築來衡量其優劣等級
regional,土地使用管制,,有無禁止建築,劣,有,-40.0,,,,0.0,以區段內有無禁止建築來衡量其優劣等級
regional,土地使用管制,,有無限制建築,優,無,0.0,,,,40.0,以該地區有無限制建築及開發來衡量其優劣等級
regional,土地使用管制,,有無限制建築,劣,有,-40.0,,,,0.0,以該地區有無限制建築及開發來衡量其優劣等級
regional,交通運輸,,主要道路寬度,優,30m以上,0.0,3.75,7.5,11.25,15.0,以區段內主要道路寬度來衡量
regional,交通運輸,,主要道路寬度,稍優,20m以上未滿30m,-3.75,0.0,3.75,7.5,11.25,以區段內主要道路寬度來衡量
regional,交通運輸,,主要道路寬度,普通,15m以上未滿20m,-7.5,-3.75,0.0,3.75,7.5,以區段內主要道路寬度來衡量
regional,交通運輸,,主要道路寬度,稍劣,10m以上未滿15m,-11.25,-7.5,-3.75,0.0,3.75,以區段內主要道路寬度來衡量
regional,交通運輸,,主要道路寬度,劣,未滿10m或無,-15.0,-11.25,-7.5,-3.75,0.0,以區段內主要道路寬度來衡量
